i,position,all_changes,any_changes,jaccards,sequence,model,dataset,determinism,pop_size,generations,halloffame_ratio,fitness_alpha,allowed_mutations,include_sink,mutation_params,generation_strategy,timestamp
30,49,26.883,79.514,34.793,"530,68,135,27,1587,1863,492,601,274,702,281,98,316,20,133,589,326,511,651,42,41,1825,462,1576,905,2542,2293,1318,1866,1564,209,195,124,1833,394,846,395,1508,398,739,917,1840,1231,1383,2433,245,227,60,897,836",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
31,49,2.807,71.498,54.908,"879,257,168,24,52,29,150,506,49,165,281,1323,1034,918,1527,60,28,1277,2344,54,888,482,594,485,466,519,3204,2100,1059,417,502,1748,1381,364,754,133,79,152,241,433,265,196,161,896,70,1879,1203,147,459,92",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
32,49,15.978,78.381,42.938,"376,1020,904,1011,776,1174,1372,433,591,620,1019,197,1275,2293,754,910,1483,556,763,851,880,73,648,1193,223,74,2855,1724,1482,1671,92,198,850,565,1716,131,66,1210,2320,1089,1841,576,2425,1276,1064,2428,1030,1103,1076,1844",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
34,49,14.305,40.945,57.413,"742,574,657,853,1905,908,2863,10,2757,46,41,9,208,799,1051,683,589,597,609,1047,35,47,34,633,1061,2146,391,390,1052,38,50,11,17,1729,33,1368,332,1063,1770,1077,1328,389,567,1800,1091,1402,3458,90,649,106",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
35,49,22.375,64.588,51.97,"1729,264,1247,189,1209,2557,585,791,1977,716,652,203,1180,279,483,975,1985,967,1260,1895,1142,2260,1426,1926,2896,1218,761,1900,1978,1811,1815,2362,1268,1143,932,1946,1983,2354,2379,2380,1809,1813,1733,2353,2948,1145,1990,2950,1734,1735",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
36,49,55.007,82.861,23.795,"34,11,536,391,469,30,36,5,244,1178,2184,33,607,515,809,657,188,61,1084,843,721,592,643,679,674,759,27,559,768,1038,623,718,755,208,1001,1021,1028,219,468,1077,769,581,625,1017,583,1048,2284,389,39,672",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
37,49,4.723,96.518,36.935,"1497,724,1455,1299,222,566,1002,142,1783,586,866,46,176,1211,1311,1493,23,538,16,184,14,77,1186,1309,1424,535,380,146,604,370,1645,392,1802,1305,646,1320,425,636,2300,169,1500,815,1244,1265,829,640,90,1432,344,373",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
38,49,32.848,96.869,27.274,"1132,202,1625,217,729,1155,1269,100,1040,1728,1547,83,1459,1508,1023,701,1765,723,2331,894,2343,2742,835,2234,1558,2129,764,554,2110,2432,205,141,432,1616,624,1574,1941,1263,1622,2117,1569,710,1570,3023,3044,1722,1331,312,603,214",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
39,49,15.412,93.981,29.616,"1635,1663,1319,1419,1264,410,1307,2117,1569,1020,2969,455,1527,135,318,264,1653,711,3382,285,532,500,475,344,1408,1640,1233,530,211,98,86,1273,2858,152,323,229,494,466,118,985,1708,126,1420,305,825,1350,1844,67,2140,1193",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
40,49,12.443,41.053,68.257,"1834,827,1243,1076,1715,3178,2620,181,1773,1416,2828,2188,1085,889,1373,1412,1725,1835,1851,1967,1594,2204,1327,1064,2511,2843,936,913,1092,1859,1045,3041,1852,2202,2658,1698,2279,2055,2542,1397,2185,1826,2790,3042,821,2350,69,542,520,1847",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
42,49,7.368,7.368,60.404,"485,2754,455,1308,909,2156,476,245,52,505,318,338,478,1097,979,2752,40,903,1872,492,60,220,3386,1107,284,1060,358,1892,902,329,519,449,2246,146,440,239,229,888,372,922,465,489,1401,2755,1600,483,1906,1369,675,1767",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
43,49,12.119,47.341,42.19,"1011,464,98,97,45,125,715,210,741,218,965,1009,744,539,377,63,65,759,78,990,991,114,644,1002,663,848,295,1005,1006,703,156,734,190,215,981,1019,323,529,971,212,27,677,278,1001,857,620,161,776,738,433",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
44,49,83.887,83.887,8.611,"1482,1356,194,538,139,36,2140,201,775,1209,2321,1177,1131,1412,2744,1440,390,389,1305,523,772,1020,732,773,1203,1157,2260,533,2671,827,1335,1322,920,2741,1089,735,837,1307,2476,745,930,1605,1371,2910,2062,1698,1228,1083,1037,640",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
45,49,68.34,68.34,16.758,"589,536,581,35,30,38,18,34,208,1048,633,1094,610,31,17,672,2,33,1317,26,390,1077,1238,52,1040,140,720,453,179,1936,867,789,950,942,532,2238,533,520,69,318,388,542,861,407,1692,808,2140,238,873,430",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
46,49,2.294,84.265,47.553,"152,200,93,98,75,729,65,147,49,111,58,273,215,140,151,216,209,210,218,1114,1023,434,644,712,721,1252,63,1155,756,588,387,703,156,196,1042,80,278,741,193,386,59,980,161,587,118,121,1001,768,529,971",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
48,49,59.622,80.486,23.271,"232,780,4,920,502,455,274,1151,360,1136,333,351,135,244,39,51,306,1098,916,219,446,892,369,867,1003,95,133,327,94,49,2238,268,1713,318,1195,955,179,199,375,444,1330,696,1043,215,172,1107,584,593,740,691",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
49,49,36.869,91.849,25.455,"97,592,156,734,190,210,759,677,604,2557,41,10,51,1524,35,382,532,34,1047,610,31,1026,742,567,390,402,607,71,649,207,2270,598,709,89,548,230,3,425,643,569,908,1167,719,281,2564,300,2065,1846,492,585",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
50,49,28.637,96.788,34.818,"3542,2495,1234,205,141,1114,604,1642,1352,1426,699,772,1574,762,869,1570,587,595,427,1152,725,627,2099,760,1837,2318,1115,985,637,312,2870,3133,1704,1838,369,353,789,874,185,867,791,232,516,436,355,2154,220,306,1388,351",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
51,49,85.83,85.83,13.61,"829,815,165,1849,1596,640,535,522,332,568,794,675,222,351,372,687,397,41,617,146,21,574,569,1942,1696,657,1084,1905,751,1317,607,515,853,809,61,2278,2204,877,257,1769,70,318,916,2660,39,2216,1169,1856,898,1147",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
52,49,18.893,18.893,66.906,"283,377,165,1107,80,461,1916,1669,500,257,61,39,185,382,76,316,117,5,135,34,770,291,146,177,538,1424,1630,804,130,372,568,1658,190,1432,1182,557,401,90,815,746,1200,658,1749,1175,901,794,1857,513,628,1412",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
53,49,64.13,97.436,13.14,"1227,777,844,127,203,536,56,382,185,117,506,516,142,221,317,351,528,1034,380,2605,244,891,291,222,286,366,130,383,1012,2471,397,1201,1366,1088,1460,1392,567,730,1852,700,946,247,245,52,68,24,435,670,1132,85",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
54,49,1.835,23.374,74.63,"2070,3023,2863,436,116,82,1652,554,282,107,50,1574,1550,418,416,2156,54,1529,705,1848,338,1034,124,1892,2126,83,143,720,110,89,767,135,171,724,1466,3,415,1646,117,412,154,1195,2890,548,1493,1636,383,438,425,397",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
57,49,54.629,98.57,21.37,"1114,192,768,149,147,631,1372,1275,1059,273,844,904,213,855,763,168,260,22,24,796,245,52,23,211,1552,1241,598,40,1846,97,382,1587,218,10,42,391,432,719,85,281,135,51,41,129,824,247,539,117,199,392",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
58,49,7.126,7.126,83.4,"2239,1314,422,2699,159,1898,1039,1500,587,114,725,1394,1941,1174,728,1302,426,424,199,1265,169,768,336,1114,196,1573,462,1745,490,2073,1094,580,1694,1432,457,1517,387,1460,568,865,2711,1019,713,668,901,779,676,557,201,837",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
60,49,36.599,39.973,50.002,"83,1504,202,995,1314,1640,2067,1551,1262,538,114,626,2520,843,146,63,1042,1050,11,772,19,383,1508,1023,485,1765,770,78,196,632,18,9,171,616,927,589,849,159,946,2558,1117,604,609,1028,1252,76,1532,2510,535,1560",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
61,49,57.679,95.709,16.005,"851,976,1199,203,556,2746,1704,1372,87,127,1152,1059,1079,2213,131,92,1103,1841,576,1037,1251,1086,2781,2295,1656,530,1634,694,100,2039,1173,965,2336,254,1233,429,152,1235,1107,1896,57,721,213,610,633,33,31,222,2944,164",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
62,49,48.07,48.07,41.41,"129,1065,206,292,435,4,179,2092,957,886,3574,1,1395,1530,1467,771,560,1543,670,487,176,2110,45,1263,1518,171,1540,601,634,835,566,757,2234,97,764,141,432,862,214,554,678,1574,632,1503,595,2571,1384,1642,2127,3233",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
63,49,15.142,85.587,35.253,"1017,581,583,1349,389,1914,393,128,178,744,2706,125,23,1345,1099,27,6,1567,53,1116,1080,184,82,2000,1309,218,193,798,2001,1043,42,715,1677,1211,1051,795,1006,756,187,1050,16,148,1247,14,274,1052,143,278,1302,1265",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
64,49,31.876,58.138,35.21,"702,2256,305,129,260,218,39,133,530,98,715,429,152,211,337,306,434,121,923,63,524,105,168,24,8,97,175,125,1467,40,27,613,10,51,505,53,34,597,208,382,391,5,718,45,128,85,124,588,206,6",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
65,49,5.02,54.467,67.031,"146,2160,2770,705,266,1305,90,2081,224,1669,37,793,822,488,1908,413,1394,909,2100,1360,1774,448,888,2755,462,2471,115,1935,2422,1059,2300,509,2744,1310,2555,482,1982,3191,1897,451,159,2246,1975,1435,446,1749,1861,2688,660,754",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
67,49,15.493,78.111,40.141,"220,932,801,881,39,673,892,1106,445,749,15,500,510,1713,729,114,464,407,417,2,1334,1336,51,520,237,854,920,549,2280,285,4,1694,100,832,434,2092,1673,1999,518,196,174,2816,2806,60,118,203,1268,1316,147,1651",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
68,49,3.995,79.082,48.847,"2150,60,124,1575,549,13,144,169,53,571,1050,107,514,143,705,2081,2426,75,521,1164,35,1869,15,720,45,128,65,152,211,151,196,79,91,647,712,588,146,28,734,1273,201,219,187,206,844,648,676,181,1082,1083",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
70,49,59.379,75.709,28.5,"8,600,1513,1195,566,46,702,1002,425,1530,1043,586,1642,757,1298,734,171,117,1211,200,712,184,624,617,1795,710,1692,169,1309,5,1501,689,1252,199,723,756,538,604,815,626,386,1349,638,1311,520,406,1713,69,1847,820",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
73,49,23.266,23.266,67.198,"946,284,480,54,507,157,418,454,2162,313,1756,1097,413,436,528,1107,492,384,551,331,1982,1630,511,438,325,124,142,366,503,60,476,146,76,378,485,509,260,796,1489,129,68,259,135,168,281,39,337,195,543,372",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
75,49,72.659,93.9,10.65,"899,453,2265,1483,524,872,149,815,874,912,1059,145,557,984,1993,289,606,1959,2478,1203,739,397,1136,1146,791,2476,585,648,1399,1260,794,823,2675,2505,1191,911,2780,2655,684,1841,1204,700,328,108,182,565,3091,2136,878,1064",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
76,49,20.135,64.291,44.606,"405,1418,1476,1155,63,121,858,288,168,72,276,93,1099,1311,98,157,83,836,557,658,510,99,200,524,789,791,20,568,125,376,1110,837,108,152,147,349,114,1656,2265,266,642,120,647,897,135,746,691,58,2292,2262",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
