i,split,status,source,aligned,alignment,cost,gt,aligned_gt,dataset_time,align_time,automata_learning_time,use_cache,determinism,model,dataset,pop_size,generations,halloffame_ratio,fitness_alpha,allowed_mutations,include_sink,mutation_params,generation_strategy,timestamp
2,"(None, 1, 0)",good,"154,799,1341,65,172,214,184,536,1463,598,274,1510,1034,207,540,412,2475,1616,244","154,799,1341,65,172,214,184,536,1463,598,274,1510,1034,207,540,412,2475,1616,74,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1","sync_154,sync_799,sync_1341,sync_65,sync_172,sync_214,sync_184,sync_536,sync_1463,sync_598,sync_274,sync_1510,sync_1034,sync_207,sync_540,sync_412,sync_2475,sync_1616,del_244,add_74",1,"(3, 13)","(7,)",160.349,7.448,4.846,False,True,BERT4Rec,ml-1m,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Sun, 08 Dec 2024 22:17:15"
2,"(None, 10, 0)",good,"154,799,1341,65,172,214,184,536,1463,598,274,1510,1034,207,540,412,2475,1616,244","154,799,1341,65,172,214,184,536,1463,598,274,1510,1034,207,540,412,2475,1616,74,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1","sync_154,sync_799,sync_1341,sync_65,sync_172,sync_214,sync_184,sync_536,sync_1463,sync_598,sync_274,sync_1510,sync_1034,sync_207,sync_540,sync_412,sync_2475,sync_1616,del_244,add_74",1,"(3, 13)","(7,)",160.349,46.481,1.857,False,True,BERT4Rec,ml-1m,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Sun, 08 Dec 2024 22:17:15"
2,"(None, 1, 10)",NoTargetStatesError,"154,799,1341,65,172,214,184,536,1463,598,274,1510,1034,207,540,412,2475,1616,244","154,799,1341,65,172,214,184,536,1463,598,274,1510,1034,207,540,412,2475,1616,74,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1","sync_154,sync_799,sync_1341,sync_65,sync_172,sync_214,sync_184,sync_536,sync_1463,sync_598,sync_274,sync_1510,sync_1034,sync_207,sync_540,sync_412,sync_2475,sync_1616,del_244,add_74",1,"(3, 13)","(7,)",160.349,46.481,1.857,False,True,BERT4Rec,ml-1m,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Sun, 08 Dec 2024 22:17:15"
2,"(None, 5, 10)",NoTargetStatesError,"154,799,1341,65,172,214,184,536,1463,598,274,1510,1034,207,540,412,2475,1616,244","154,799,1341,65,172,214,184,536,1463,598,274,1510,1034,207,540,412,2475,1616,74,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1","sync_154,sync_799,sync_1341,sync_65,sync_172,sync_214,sync_184,sync_536,sync_1463,sync_598,sync_274,sync_1510,sync_1034,sync_207,sync_540,sync_412,sync_2475,sync_1616,del_244,add_74",1,"(3, 13)","(7,)",160.349,46.481,1.857,False,True,BERT4Rec,ml-1m,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Sun, 08 Dec 2024 22:17:15"
3,"(None, 1, 0)",good,"207,382,771,1622,200,178,135,316,1309,185,23,866,2495,724,1121,1493,649,697,1652,2456,1664,634,548,1595,97,45,612,999,744,78,749,377,715,990,991,616,1009,1006,734,539,65,323,971,677,1004,587,841,1475,656,295","207,382,771,1622,200,178,135,316,1309,185,23,866,2495,724,1121,1493,649,697,1652,2456,1664,634,548,1595,97,45,612,999,744,78,749,377,715,990,991,616,1009,1006,734,539,65,323,971,677,1004,587,841,1475,656,3155","sync_207,sync_382,sync_771,sync_1622,sync_200,sync_178,sync_135,sync_316,sync_1309,sync_185,sync_23,sync_866,sync_2495,sync_724,sync_1121,sync_1493,sync_649,sync_697,sync_1652,sync_2456,sync_1664,sync_634,sync_548,sync_1595,sync_97,sync_45,sync_612,sync_999,sync_744,sync_78,sync_749,sync_377,sync_715,sync_990,sync_991,sync_616,sync_1009,sync_1006,sync_734,sync_539,sync_65,sync_323,sync_971,sync_677,sync_1004,sync_587,sync_841,sync_1475,sync_656,add_3155,del_295",1,"(0, 17, 14, 15)","(0, 5, 14)",126.481,0.277,1.118,False,True,BERT4Rec,ml-1m,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 07:18:59"
3,"(None, 10, 0)",good,"207,382,771,1622,200,178,135,316,1309,185,23,866,2495,724,1121,1493,649,697,1652,2456,1664,634,548,1595,97,45,612,999,744,78,749,377,715,990,991,616,1009,1006,734,539,65,323,971,677,1004,587,841,1475,656,295","207,382,771,1622,200,178,135,316,1309,185,23,866,2495,724,1121,1493,649,697,1652,2456,1664,634,548,1595,97,45,612,999,744,78,749,377,715,990,991,616,1009,1006,734,539,65,323,971,677,1004,3204,587,841,1475,656","sync_207,sync_382,sync_771,sync_1622,sync_200,sync_178,sync_135,sync_316,sync_1309,sync_185,sync_23,sync_866,sync_2495,sync_724,sync_1121,sync_1493,sync_649,sync_697,sync_1652,sync_2456,sync_1664,sync_634,sync_548,sync_1595,sync_97,sync_45,sync_612,sync_999,sync_744,sync_78,sync_749,sync_377,sync_715,sync_990,sync_991,sync_616,sync_1009,sync_1006,sync_734,sync_539,sync_65,sync_323,sync_971,sync_677,sync_1004,add_3204,sync_587,sync_841,sync_1475,sync_656,del_295",2,"(0, 17, 14, 15)","(8, 3, 13)",126.481,96.313,1.163,False,True,BERT4Rec,ml-1m,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 07:18:59"
3,"(None, 1, 5)",good,"207,382,771,1622,200,178,135,316,1309,185,23,866,2495,724,1121,1493,649,697,1652,2456,1664,634,548,1595,97,45,612,999,744,78,749,377,715,990,991,616,1009,1006,734,539,65,323,971,677,1004,587,841,1475,656,295","207,382,771,1622,200,178,135,316,1309,185,23,866,2495,724,1121,1493,649,697,1652,2456,1664,634,548,1595,97,45,612,999,744,78,749,377,715,990,991,616,1009,1006,734,539,65,323,971,677,3204,587,841,1475,656,295","sync_207,sync_382,sync_771,sync_1622,sync_200,sync_178,sync_135,sync_316,sync_1309,sync_185,sync_23,sync_866,sync_2495,sync_724,sync_1121,sync_1493,sync_649,sync_697,sync_1652,sync_2456,sync_1664,sync_634,sync_548,sync_1595,sync_97,sync_45,sync_612,sync_999,sync_744,sync_78,sync_749,sync_377,sync_715,sync_990,sync_991,sync_616,sync_1009,sync_1006,sync_734,sync_539,sync_65,sync_323,sync_971,sync_677,add_3204,del_1004,sync_587,sync_841,sync_1475,sync_656,sync_295",1,"(0, 17, 14, 15)","(0, 1, 14)",126.481,1.079,1.052,False,True,BERT4Rec,ml-1m,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 07:18:59"
3,"(None, 5, 5)",good,"207,382,771,1622,200,178,135,316,1309,185,23,866,2495,724,1121,1493,649,697,1652,2456,1664,634,548,1595,97,45,612,999,744,78,749,377,715,990,991,616,1009,1006,734,539,65,323,971,677,1004,587,841,1475,656,295","207,382,771,1622,200,178,135,316,1309,185,23,866,2495,724,1121,1493,649,697,1652,2456,1664,634,548,1595,97,45,612,999,744,78,749,377,715,990,991,616,1009,1006,734,539,3204,65,323,971,677,587,841,1475,656,295","sync_207,sync_382,sync_771,sync_1622,sync_200,sync_178,sync_135,sync_316,sync_1309,sync_185,sync_23,sync_866,sync_2495,sync_724,sync_1121,sync_1493,sync_649,sync_697,sync_1652,sync_2456,sync_1664,sync_634,sync_548,sync_1595,sync_97,sync_45,sync_612,sync_999,sync_744,sync_78,sync_749,sync_377,sync_715,sync_990,sync_991,sync_616,sync_1009,sync_1006,sync_734,sync_539,add_3204,sync_65,sync_323,sync_971,sync_677,del_1004,sync_587,sync_841,sync_1475,sync_656,sync_295",2,"(0, 17, 14, 15)","(0, 1, 14)",126.481,35.551,0.89,False,True,BERT4Rec,ml-1m,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 07:18:59"
3,"(None, 10, 5)",good,"207,382,771,1622,200,178,135,316,1309,185,23,866,2495,724,1121,1493,649,697,1652,2456,1664,634,548,1595,97,45,612,999,744,78,749,377,715,990,991,616,1009,1006,734,539,65,323,971,677,1004,587,841,1475,656,295","207,382,771,1622,200,178,135,316,1309,185,23,866,2495,724,1121,1493,649,697,1652,2456,1664,634,548,1595,97,45,612,999,744,78,749,377,715,990,991,3204,616,1009,1006,734,539,65,323,971,677,587,841,1475,656,295","sync_207,sync_382,sync_771,sync_1622,sync_200,sync_178,sync_135,sync_316,sync_1309,sync_185,sync_23,sync_866,sync_2495,sync_724,sync_1121,sync_1493,sync_649,sync_697,sync_1652,sync_2456,sync_1664,sync_634,sync_548,sync_1595,sync_97,sync_45,sync_612,sync_999,sync_744,sync_78,sync_749,sync_377,sync_715,sync_990,sync_991,add_3204,sync_616,sync_1009,sync_1006,sync_734,sync_539,sync_65,sync_323,sync_971,sync_677,del_1004,sync_587,sync_841,sync_1475,sync_656,sync_295",2,"(0, 17, 14, 15)","(3, 14)",126.481,64.493,0.842,False,True,BERT4Rec,ml-1m,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 07:18:59"
4,"(None, 1, 0)",good,"755,87,1008,1842,1191,1725,2014,1251,760,1838,606,1716,108,1260,1210,1327,1723,565,1064,1724,134,1727,967,1134,2017,879,955,1656,1185,2783,1715,1190,2165,1837,1054,2959,1720,1030,1096,1990,1243,1979,627,2674,1049,2021,2976,3366,935,1058","755,87,1008,1842,1191,1725,2014,1251,760,1838,606,1716,108,1260,1210,1327,1723,565,1064,1724,134,1727,967,1134,2017,879,955,1656,1185,2783,1715,1190,2165,1837,1054,2959,1720,1030,1096,1990,1243,1979,627,2674,1049,2021,2976,3366,935,2","sync_755,sync_87,sync_1008,sync_1842,sync_1191,sync_1725,sync_2014,sync_1251,sync_760,sync_1838,sync_606,sync_1716,sync_108,sync_1260,sync_1210,sync_1327,sync_1723,sync_565,sync_1064,sync_1724,sync_134,sync_1727,sync_967,sync_1134,sync_2017,sync_879,sync_955,sync_1656,sync_1185,sync_2783,sync_1715,sync_1190,sync_2165,sync_1837,sync_1054,sync_2959,sync_1720,sync_1030,sync_1096,sync_1990,sync_1243,sync_1979,sync_627,sync_2674,sync_1049,sync_2021,sync_2976,sync_3366,sync_935,add_2,del_1058",1,"(0, 14)","(11, 2, 3)",125.77,0.302,0.924,False,True,BERT4Rec,ml-1m,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 07:18:59"
4,"(None, 10, 0)",good,"755,87,1008,1842,1191,1725,2014,1251,760,1838,606,1716,108,1260,1210,1327,1723,565,1064,1724,134,1727,967,1134,2017,879,955,1656,1185,2783,1715,1190,2165,1837,1054,2959,1720,1030,1096,1990,1243,1979,627,2674,1049,2021,2976,3366,935,1058","755,87,1008,1842,1191,1725,2014,1251,760,1838,606,1716,108,1260,1210,1327,1723,565,1064,1724,134,1727,967,1134,2017,879,955,1656,1185,2783,1715,1190,2165,1837,1054,2959,1720,1030,1096,1990,1243,1979,627,2674,1049,2021,2976,1362,935,1058","sync_755,sync_87,sync_1008,sync_1842,sync_1191,sync_1725,sync_2014,sync_1251,sync_760,sync_1838,sync_606,sync_1716,sync_108,sync_1260,sync_1210,sync_1327,sync_1723,sync_565,sync_1064,sync_1724,sync_134,sync_1727,sync_967,sync_1134,sync_2017,sync_879,sync_955,sync_1656,sync_1185,sync_2783,sync_1715,sync_1190,sync_2165,sync_1837,sync_1054,sync_2959,sync_1720,sync_1030,sync_1096,sync_1990,sync_1243,sync_1979,sync_627,sync_2674,sync_1049,sync_2021,sync_2976,add_1362,del_3366,sync_935,sync_1058",1,"(0, 14)","(3,)",125.77,8.75,0.672,False,True,BERT4Rec,ml-1m,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 07:18:59"
